alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,N,rep,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,realized_avg_indegree,parallel_workers,seed,method_seed,runtime_sec,local_score_runtime_sec,search_runtime_sec,n_local_scores_evaluated,score,directed_f1,skeleton_f1,exact_dag,family_accuracy,alpha_rmse_if_exact,alpha_rmse_on_correct_edges,alpha_mape_on_correct_edges_pct,alpha_rmse_on_true_edges,n_correct_directed_edges,n_true_edges,n_est_directed_edges,n_est_undirected_edges,true_families,true_exogenous_params,true_alpha_matrix,selected_families,true_edges,estimated_directed_edges,estimated_undirected_edges
common,kbar,1.0,8,3200,8,3200,0,LibraryDP,0.15,0.85,5,1.0,exact_edges,1.0,12,18086829191487821512,4856902855386130098,6.130261499987682,6.129587699993863,0.0006737999938195,960.0,123612.36220246072,0.9333333333333332,0.9333333333333332,0.0,0.875,,0.1153675493074357,16.28612748952269,0.1730432632783308,7.0,8.0,7.0,0.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.0,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.0,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","Bernoulli,NB,NB,ZIP,NB,Poisson,ZIP,Geom",0->2;0->3;0->5;0->6;0->7;1->3;4->5;4->6,0->3;0->5;0->6;0->7;1->3;4->5;4->6,
common,kbar,1.0,8,3200,8,3200,0,LibraryGreedy,0.15,0.85,5,1.0,exact_edges,1.0,12,18086829191487821512,3529937506805223647,0.6278521999920486,0.6247414999816101,0.0031107000104384,103.0,123612.36220246072,0.9333333333333332,0.9333333333333332,0.0,0.875,,0.1153675493074357,16.28612748952269,0.1730432632783308,7.0,8.0,7.0,0.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.0,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.0,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","Bernoulli,NB,NB,ZIP,NB,Poisson,ZIP,Geom",0->2;0->3;0->5;0->6;0->7;1->3;4->5;4->6,0->3;0->5;0->6;0->7;1->3;4->5;4->6,
common,kbar,1.0,8,3200,8,3200,0,OracleDP,0.15,0.85,5,1.0,exact_edges,1.0,12,18086829191487821512,12904713069498771178,0.7840203000087058,0.7833712999999989,0.0006490000087069,960.0,123613.533668004,1.0,1.0,1.0,1.0,0.2118952786715704,0.2118952786715704,31.10144152261627,0.2118952786715704,8.0,8.0,8.0,0.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.0,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.0,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom",0->2;0->3;0->5;0->6;0->7;1->3;4->5;4->6,0->2;0->3;0->5;0->6;0->7;1->3;4->5;4->6,
common,kbar,1.0,8,3200,8,3200,0,PC-RCIT,0.15,0.85,5,1.0,exact_edges,1.0,12,18086829191487821512,16788294417426410947,0.9613879999960772,,,,,0.0,0.7692307692307693,0.0,,,,,,0.0,8.0,2.0,3.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.0,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.0,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",,0->2;0->3;0->5;0->6;0->7;1->3;4->5;4->6,2->0;3->0,1--3;4--5;4--6
common,kbar,1.0,8,3200,8,3200,0,PBSCM,0.15,0.85,5,1.0,exact_edges,1.0,12,18086829191487821512,1937551259082137234,1.1214894000004278,,,,,0.0,0.4,0.0,,,,,,0.0,8.0,2.0,0.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.0,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.0,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",,0->2;0->3;0->5;0->6;0->7;1->3;4->5;4->6,3->0;5->0,
common,kbar,1.0,8,3200,8,3200,0,PBSCM_PGF,0.15,0.85,5,1.0,exact_edges,1.0,12,18086829191487821512,13469406762729247417,0.5553070000023581,,,,,0.0,0.1666666666666666,0.0,,,,,,0.0,8.0,3.0,1.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.0,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.0,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",,0->2;0->3;0->5;0->6;0->7;1->3;4->5;4->6,0->1;3->1;6->1,2--6
common,kbar,1.0,8,3200,8,3200,0,PoissonDAG-ODS,0.15,0.85,5,1.0,exact_edges,1.0,12,18086829191487821512,12427128217274239060,0.2505506000015884,,,,,0.6,0.7000000000000001,0.0,,,,,,6.0,8.0,12.0,0.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.0,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.0,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",,0->2;0->3;0->5;0->6;0->7;1->3;4->5;4->6,0->2;0->3;0->5;0->7;1->3;1->7;4->2;4->6;5->2;5->4;5->7;7->2,
common,kbar,1.0,8,3200,8,3200,1,LibraryDP,0.15,0.85,5,1.0,exact_edges,1.0,12,8583434687954839353,16764492490997204298,20.070671499997843,20.070025199995143,0.0006463000026997,960.0,128420.3164291114,1.0,1.0,1.0,1.0,0.0176164704251975,0.0176164704251975,2.9974184423593653,0.0176164704251975,8.0,8.0,8.0,0.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.0,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom",0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,
common,kbar,1.0,8,3200,8,3200,1,LibraryGreedy,0.15,0.85,5,1.0,exact_edges,1.0,12,8583434687954839353,15809866309240361073,1.0662429999938468,1.062704700001632,0.0035382999922148,110.0,128420.3164291114,1.0,1.0,1.0,1.0,0.0176164704251975,0.0176164704251975,2.9974184423593653,0.0176164704251975,8.0,8.0,8.0,0.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.0,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom",0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,
common,kbar,1.0,8,3200,8,3200,1,OracleDP,0.15,0.85,5,1.0,exact_edges,1.0,12,8583434687954839353,13214076520712840868,0.5339147999911802,0.5333269999973709,0.0005877999938093,960.0,128420.3164291114,1.0,1.0,1.0,1.0,0.0176164704251975,0.0176164704251975,2.9974184423593653,0.0176164704251975,8.0,8.0,8.0,0.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.0,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom",0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,
common,kbar,1.0,8,3200,8,3200,1,PC-RCIT,0.15,0.85,5,1.0,exact_edges,1.0,12,8583434687954839353,4272805823128485787,4.714094900002237,,,,,0.0,0.9333333333333332,0.0,,,,,,0.0,8.0,0.0,7.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.0,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",,0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,,0--1;0--4;1--2;1--6;2--3;2--6;3--5
common,kbar,1.0,8,3200,8,3200,1,PBSCM,0.15,0.85,5,1.0,exact_edges,1.0,12,8583434687954839353,13480692310169125390,0.900727000000188,,,,,0.0,0.0,0.0,,,,,,0.0,8.0,0.0,2.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.0,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",,0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,,0--7;4--7
common,kbar,1.0,8,3200,8,3200,1,PBSCM_PGF,0.15,0.85,5,1.0,exact_edges,1.0,12,8583434687954839353,14212561306690396636,0.5582030999939889,,,,,0.0,0.0,0.0,,,,,,0.0,8.0,0.0,1.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.0,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",,0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,,6--7
common,kbar,1.0,8,3200,8,3200,1,PoissonDAG-ODS,0.15,0.85,5,1.0,exact_edges,1.0,12,8583434687954839353,8757133322921121394,0.6239039999927627,,,,,0.2857142857142857,0.761904761904762,0.0,,,,,,3.0,8.0,13.0,0.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.0,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]",,0->1;0->4;0->5;1->2;1->6;2->3;2->6;3->5,0->5;1->0;1->4;2->1;2->3;2->5;2->6;3->7;4->0;5->3;6->1;6->3;6->7,
common,kbar,1.0,8,3200,8,3200,2,LibraryDP,0.15,0.85,5,1.0,exact_edges,1.0,12,369777690918623477,11131285480220178196,10.45976620001602,10.459114600002067,0.0006516000139527,960.0,126311.88220640837,1.0,1.0,1.0,0.875,0.0317636453275707,0.0317636453275707,7.732973730932266,0.0317636453275707,8.0,8.0,8.0,0.0,"Binomial,ZIP,ZIP,Geom,Geom,Poisson,Bernoulli,NB","[{""n"":4,""p"":0.813723767285653},{""lam"":6.19728262410134,""rho"":0.15908464735895206},{""lam"":3.312637525114769,""rho"":0.16671560698414664},{""mean"":6.480337367695934,""p"":0.13368381008034888},{""mean"":4.244547264957351,""p"":0.19067422781785762},{""lam"":6.696307946324325},{""p"":0.6492512428478928},{""p"":0.28183867874110063,""r"":8.848194139839428}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.36696008419736836,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.5753254304245737,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.34934274788161435,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.18004662026658713,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.7878092798437185,0.0,0.3343579074574493,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.5560432486678601,0.0,0.2713703646942471,0.0]]","Binomial,ZIP,ZIP,Geom,NB,Poisson,Bernoulli,NB",0->2;1->3;2->4;2->5;2->6;4->6;4->7;6->7,0->2;1->3;2->4;2->5;2->6;4->6;4->7;6->7,
common,kbar,1.0,8,3200,8,3200,2,LibraryGreedy,0.15,0.85,5,1.0,exact_edges,1.0,12,369777690918623477,18268028950683970275,0.741234600005555,0.7377997999574291,0.0034348000481259,108.0,126311.88220640837,1.0,1.0,1.0,0.875,0.0317636453275707,0.0317636453275707,7.732973730932266,0.0317636453275707,8.0,8.0,8.0,0.0,"Binomial,ZIP,ZIP,Geom,Geom,Poisson,Bernoulli,NB","[{""n"":4,""p"":0.813723767285653},{""lam"":6.19728262410134,""rho"":0.15908464735895206},{""lam"":3.312637525114769,""rho"":0.16671560698414664},{""mean"":6.480337367695934,""p"":0.13368381008034888},{""mean"":4.244547264957351,""p"":0.19067422781785762},{""lam"":6.696307946324325},{""p"":0.6492512428478928},{""p"":0.28183867874110063,""r"":8.848194139839428}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.36696008419736836,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.5753254304245737,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.34934274788161435,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.18004662026658713,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.7878092798437185,0.0,0.3343579074574493,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.5560432486678601,0.0,0.2713703646942471,0.0]]","Binomial,ZIP,ZIP,Geom,NB,Poisson,Bernoulli,NB",0->2;1->3;2->4;2->5;2->6;4->6;4->7;6->7,0->2;1->3;2->4;2->5;2->6;4->6;4->7;6->7,
common,kbar,1.0,8,3200,8,3200,2,OracleDP,0.15,0.85,5,1.0,exact_edges,1.0,12,369777690918623477,15267943334778937999,4.533282500007772,4.532611300004646,0.0006712000031257,960.0,126317.87636472692,1.0,1.0,1.0,1.0,0.0317636453275707,0.0317636453275707,7.732973730932266,0.0317636453275707,8.0,8.0,8.0,0.0,"Binomial,ZIP,ZIP,Geom,Geom,Poisson,Bernoulli,NB","[{""n"":4,""p"":0.813723767285653},{""lam"":6.19728262410134,""rho"":0.15908464735895206},{""lam"":3.312637525114769,""rho"":0.16671560698414664},{""mean"":6.480337367695934,""p"":0.13368381008034888},{""mean"":4.244547264957351,""p"":0.19067422781785762},{""lam"":6.696307946324325},{""p"":0.6492512428478928},{""p"":0.28183867874110063,""r"":8.848194139839428}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.36696008419736836,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.5753254304245737,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.34934274788161435,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.18004662026658713,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.7878092798437185,0.0,0.3343579074574493,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.5560432486678601,0.0,0.2713703646942471,0.0]]","Binomial,ZIP,ZIP,Geom,Geom,Poisson,Bernoulli,NB",0->2;1->3;2->4;2->5;2->6;4->6;4->7;6->7,0->2;1->3;2->4;2->5;2->6;4->6;4->7;6->7,
